,key,class,expire_time_gmt,obs_id,obs_name,valid_time_gmt,day_ind,temp,wx_icon,icon_extd,wx_phrase,pressure_tend,pressure_desc,dewPt,heat_index,rh,pressure,vis,wc,wdir,wdir_cardinal,gust,wspd,max_temp,min_temp,precip_total,precip_hrly,snow_hrly,uv_desc,feels_like,uv_index,qualifier,qualifier_svrty,blunt_phrase,terse_phrase,clds,water_temp,primary_wave_period,primary_wave_height,primary_swell_period,primary_swell_height,primary_swell_direction,secondary_swell_period,secondary_swell_height,secondary_swell_direction
73,97502,observation,1547068500,97502,Sorong,1547056800,N,78,29,2900,Partly Cloudy,2.0,Falling,76,80,96,29.79,3,78,,CALM,,0,,,,,,Low,80,0,,,,,50.0,,,,,,,,,
74,97502,observation,1547079300,97502,Sorong,1547067600,D,77,30,3000,Partly Cloudy,1.0,Rising Rapidly,76,78,96,29.81,4,77,90.0,E,,3,,,,,,Low,78,0,,,,,37.5,,,,,,,,,
75,97502,observation,1547090100,97502,Sorong,1547078400,D,84,30,3000,Partly Cloudy,1.0,Rising,75,92,73,29.86,5,84,330.0,NNW,,5,,77.0,,,,Moderate,92,3,,,,,37.5,,,,,,,,,
76,97502,observation,1547100900,97502,Sorong,1547089200,D,87,30,3000,Partly Cloudy,1.0,Rising,71,93,57,29.8,5,87,330.0,NNW,,8,,,,,,Very High,93,9,,,,,50.0,,,,,,,,,
77,97502,observation,1547111700,97502,Sorong,1547100000,D,88,30,3000,Partly Cloudy,2.0,Falling,71,93,57,29.75,3,88,290.0,WNW,,8,,,,,,Moderate,93,5,,,,,37.5,,,,,,,,,
78,97502,observation,1547122500,97502,Sorong,1547110800,D,82,30,3000,Partly Cloudy,1.0,Rising,76,89,84,29.78,4,82,90.0,E,,3,,,,,,Low,89,0,,,,,37.5,,,,,,,,,
79,97502,observation,1547133300,97502,Sorong,1547121600,N,80,29,2900,Partly Cloudy,1.0,Rising,76,86,86,29.84,3,80,50.0,NE,,5,89.0,,,,,Low,86,0,,,,,37.5,,,,,,,,,
80,97502,observation,1547144100,97502,Sorong,1547132400,N,78,29,2900,Partly Cloudy,2.0,Falling,76,82,93,29.82,3,78,,CALM,,0,,,,,,Low,82,0,,,,,25.0,,,,,,,,,
81,97502,observation,1547154900,97502,Sorong,1547143200,N,77,29,2900,Partly Cloudy,2.0,Falling,76,79,96,29.78,3,77,,CALM,,0,,,,,,Low,79,0,,,,,25.0,,,,,,,,,
82,97502,observation,1547165700,97502,Sorong,1547154000,D,76,34,3400,Fair,1.0,Rising,75,76,96,29.8,3,76,,CALM,,0,,,,,,Low,76,0,,,,,12.5,,,,,,,,,
83,97502,observation,1547176500,97502,Sorong,1547164800,D,85,34,3400,Fair,1.0,Rising,77,95,77,29.85,6,85,130.0,SE,,3,,76.0,,,,Moderate,95,4,,,,,12.5,,,,,,,,,
84,97502,observation,1547187300,97502,Sorong,1547175600,D,88,30,3000,Partly Cloudy,2.0,Falling,78,100,72,29.82,6,88,230.0,SW,,7,,,,,,Very High,100,10,,,,,37.5,,,,,,,,,
85,97502,observation,1547198100,97502,Sorong,1547186400,D,87,30,3000,Partly Cloudy,2.0,Falling,75,97,67,29.74,5,87,290.0,WNW,,7,,,,,,Moderate,97,5,,,,,50.0,,,,,,,,,
86,97502,observation,1547208900,97502,Sorong,1547197200,D,84,30,3000,Partly Cloudy,1.0,Rising,76,93,75,29.77,4,84,270.0,W,,3,,,,,,Low,93,0,,,,,50.0,,,,,,,,,
87,97502,observation,1547219700,97502,Sorong,1547208000,N,81,29,2900,Partly Cloudy,1.0,Rising,77,87,88,29.81,4,81,70.0,ENE,,2,89.0,,,,,Low,87,0,,,,,37.5,,,,,,,,,
88,97502,observation,1547230500,97502,Sorong,1547218800,N,79,29,2900,Partly Cloudy,2.0,Falling Rapidly,76,82,92,29.8,4,79,10.0,N,,2,,,,,,Low,82,0,,,,,37.5,,,,,,,,,
89,97502,observation,1547241300,97502,Sorong,1547229600,N,77,29,2900,Partly Cloudy,2.0,Falling,75,78,94,29.77,4,77,50.0,NE,,2,,,,,,Low,78,0,,,,,37.5,,,,,,,,,
90,97502,observation,1547252100,97502,Sorong,1547240400,D,77,30,3000,Partly Cloudy,1.0,Rising Rapidly,75,77,95,29.8,4,77,30.0,NNE,,2,,,,,,Low,77,0,,,,,37.5,,,,,,,,,
91,97502,observation,1547262900,97502,Sorong,1547251200,D,86,30,3000,Partly Cloudy,1.0,Rising,75,95,71,29.84,5,86,160.0,SSE,,3,,76.0,,,,Moderate,95,3,,,,,37.5,,,,,,,,,
92,97502,observation,1547273700,97502,Sorong,1547262000,D,89,30,3000,Partly Cloudy,1.0,Rising,77,101,68,29.81,5,89,240.0,WSW,,7,,,,,,Very High,101,9,,,,,37.5,,,,,,,,,
93,97502,observation,1547284500,97502,Sorong,1547272800,D,84,28,2800,Mostly Cloudy,2.0,Falling,77,93,78,29.74,4,84,270.0,W,,5,,,,,,Moderate,93,4,,,,,50.0,,,,,,,,,
94,97502,observation,1547295300,97502,Sorong,1547283600,D,82,28,2800,Mostly Cloudy,1.0,Rising,78,91,88,29.77,4,82,110.0,ESE,,5,,,,,,Low,91,0,,,,,50.0,,,,,,,,,
95,97502,observation,1547306100,97502,Sorong,1547294400,N,79,29,2900,Partly Cloudy,1.0,Rising,77,84,92,29.81,3,79,100.0,E,,3,90.0,,,,,Low,84,0,,,,,50.0,,,,,,,,,
96,97502,observation,1547316900,97502,Sorong,1547305200,N,78,29,2900,Partly Cloudy,0.0,Steady,76,79,96,29.81,3,78,70.0,ENE,,2,,,,,,Low,79,0,,,,,37.5,,,,,,,,,
97,97502,observation,1547327700,97502,Sorong,1547316000,N,77,29,2900,Partly Cloudy,0.0,Steady,76,77,96,29.74,3,77,50.0,NE,,3,,,,,,Low,77,0,,,,,37.5,,,,,,,,,
